month,variable,value
1,d30,14.5
1,d30,27.8
2,d23,10.7
2,d2,27.3
2,d2,14.4
2,d3,24.1
2,d3,14.4
2,d11,13.4
2,d11,29.7
2,d23,29.9
3,d10,16.8
3,d5,14.2
3,d10,34.5
3,d16,31.1
3,d16,17.6
3,d5,32.1
4,d27,36.3
4,d27,16.7
5,d27,33.2
5,d27,18.2
6,d29,30.1
6,d17,28.0
6,d17,17.5
6,d29,18.0
7,d14,29.9
7,d3,17.5
7,d3,28.6
7,d14,16.5
8,d23,15.0
8,d25,29.7
8,d25,15.6
8,d29,28.0
8,d29,15.3
8,d23,26.4
8,d31,15.4
8,d5,15.8
8,d31,25.4
8,d13,16.5
8,d13,29.8
8,d8,17.3
8,d8,29.0
8,d5,29.6
10,d14,13.0
10,d5,27.0
10,d5,14.0
10,d14,29.5
10,d28,31.2
10,d28,15.0
10,d7,28.1
10,d7,12.9
10,d15,10.5
10,d15,28.7
11,d4,27.2
11,d4,12.0
11,d2,16.3
11,d2,31.3
11,d5,26.3
11,d27,27.7
11,d26,12.1
11,d26,28.1
11,d5,7.9
11,d27,14.2
12,d6,27.8
12,d6,10.5
12,d1,13.8
12,d1,29.9
